AV. INDEPENDENCIA NO. 1029,COL. LA PIRAGUA TUXTEPEC,68380,91(287) 5-36-42
CALLE MATAMOROS NO. 78,COL.CENTRO TUXTEPEC,68300,91-(287)-5-15-01
CALLE MATAMOROS NO. 11,COL.CENTRO TUXTEPEC,68300,91-(287)5-20-38
AV. INDEPENDENCIA NO. 377,COL. CENTRO TUXTEPEC,68300,91-(287)-5-08-86
AV. 20 DE NOVIEMBRE NO.772,COL.CENTRO TUXTEPEC.,68300,91-(287)- 5-12-96
AV. INDEPENDENCIA NO. 374,COL.CENTRO,68300,
AV. INDEPENDENCIA NO. 727,COL. CENTRO TUXTEPEC,68300,
20 DE NOVIEMBRE NO. 1858,LA PIRENA,68380,91-287-50235
PROLONG.INDEPENDENCIA NO.468-B,COL.OAXACA,68360,
CARR.OJITLAN NO.43,COL. 5 DE MAYO TUXTEPEC,68360,01 287 5 08 86
CALLE GUERRERO ESQ. MURO BLVD.,COL. CENTRO,68300,91-(287)-5-37-06
AV 5 DE MAYO NO. 1006,LA PIRAGUA,68300,91 287 5 09 55
MATAMOROS 127,CENTRO,68300,
AV. INDEPENDENCIA NO. 21,CAMELIA ROJA TUXTEPEC,68444,91 -(287)-5-33-66
AV. INDEPENDENCIA 666,CENTRO,68300,52757
BLVD.BENITO JUAREZ NO. 42-C,COL.COSTA VERDE,68310,01 287 5 37 75
DOMICILIO CONOCIDO S/N.,CENTRO -TEMASCAL,68430,
AV. INDEPENDENCIA NO. 1029,COL. LA PIRAGUA,68380,91-(287)-5-36-42
DOMICILIO CONOCIDO KM.21,SN.MIGUEL SOYALTEPEC(TEMASCAL,68430,01 275 2 00 67
AV. INDEPENDENCIA NO. 568,CENTRO,68300,5-18-91
11 PONIENTE S/N.,FRACC. EL SURESTE,,
JESUS CARRANZA NO. 139,CENTRO,68300,91-287-507-93
AV. 5 DE MAYO NO. 1259,COL.CENTRO TUXTEPEC,68300,91-(287)-5-38-15
AV. 5 DE MAYO 1281,CENTRO,68300,
AV. 20 DE NOVIEMBRE NO.1636,COL. CENTRO,68300,91-(287)-5-32-90
AV. MANCILLA ESQ. ALDAMA S/N.,COL. LAZARO CARDENAS TUXTEPEC,68340,91(287)5-15-13 5-24-11
INDEPENDENCIA NO. 241,CENTRO,68300,91 287 5 00 17
KM.2 CARR.FEDERAL TUX-OAXACA.,EX-HACIENDA EL YUCAL,68310,91-(287)1-62-72 - 1 60 38
KM. 13 CARR. MIGUEL ALEM¦N,COSTA VERDE,68370,5-19-84 - 5 45 65
